PassengerId,is_male,Location,Class,Fare,Age,had_parents,had_siblings,Survived
197,1,0,0,7.75,26.50758893,0,0,0
198,1,0,0,8.4042,42,1,0,0
199,0,0,0,7.75,21.75,0,0,1
200,0,0,1,13,24,0,0,0
201,1,0,0,9.5,28,0,0,0
202,1,0,0,69.55,26.50758893,1,1,0
203,1,0,0,6.4958,34,0,0,0
204,1,0,0,7.225,45.5,0,0,0
205,1,0,0,8.05,18,0,0,1
206,0,0,0,10.4625,2,1,0,0
207,1,0,0,15.85,32,0,1,0
208,1,0,0,18.7875,26,0,0,1
209,0,0,0,7.75,16,0,0,1
210,1,1,0,31,40,0,0,1
211,1,0,0,7.05,24,0,0,0
212,0,0,1,21,35,0,0,1
213,1,0,0,7.25,22,0,0,0
214,1,0,1,13,30,0,0,0
215,1,0,0,7.75,26.50758893,0,1,0
216,0,1,0,113.275,31,0,1,1
217,0,0,0,7.925,27,0,0,1
218,1,0,1,27,42,0,1,0
219,0,1,0,76.2917,32,0,0,1
220,1,0,1,10.5,30,0,0,0
221,1,0,0,8.05,16,0,0,1
222,1,0,1,13,27,0,0,0
223,1,0,0,8.05,51,0,0,0
224,1,0,0,7.8958,26.50758893,0,0,0
225,1,1,0,90,38,0,1,1
226,1,0,0,9.35,22,0,0,0
227,1,0,1,10.5,19,0,0,1
228,1,0,0,7.25,20.5,0,0,0
229,1,0,1,13,18,0,0,0
230,0,0,0,25.4667,21.75,1,1,0
231,0,1,0,83.475,35,0,1,1
232,1,0,0,7.775,29,0,0,0
233,1,0,1,13.5,59,0,0,0
234,0,0,0,31.3875,5,1,1,1
235,1,0,1,10.5,24,0,0,0
236,0,0,0,7.55,21.75,0,0,0
237,1,0,1,26,44,0,1,0
238,0,0,1,26.25,8,1,0,1
239,1,0,1,10.5,19,0,0,0
240,1,0,1,12.275,33,0,0,0
241,0,0,0,14.4542,21.75,0,1,0
242,0,0,0,15.5,21.75,0,1,1
243,1,0,1,10.5,29,0,0,0
244,1,0,0,7.125,22,0,0,0
245,1,0,0,7.225,30,0,0,0
246,1,1,0,90,44,0,1,0
247,0,0,0,7.775,25,0,0,0
248,0,0,1,14.5,24,1,0,1
249,1,1,0,52.5542,37,1,1,1
250,1,0,1,26,54,0,1,0
251,1,0,0,7.25,26.50758893,0,0,0
252,0,0,0,10.4625,29,1,1,0
253,1,1,0,26.55,62,0,0,0
254,1,0,0,16.1,30,0,1,0
255,0,0,0,20.2125,41,1,0,0
256,0,0,0,15.2458,29,1,0,1
257,0,1,0,79.2,34.61176471,0,0,1
258,0,1,0,86.5,30,0,0,1
259,0,1,0,512.3292,35,0,0,1
260,0,0,1,26,50,1,0,1
261,1,0,0,7.75,26.50758893,0,0,0
262,1,0,0,31.3875,3,1,1,1
263,1,1,0,79.65,52,1,1,0
264,1,1,0,0,40,0,0,0
265,0,0,0,7.75,21.75,0,0,0
266,1,0,1,10.5,36,0,0,0
267,1,0,0,39.6875,16,1,1,0
268,1,0,0,7.775,25,0,1,1
269,0,1,0,153.4625,58,1,0,1
270,0,1,0,135.6333,35,0,0,1
271,1,1,0,31,41.28138614,0,0,0
272,1,0,0,0,25,0,0,1
273,0,0,1,19.5,41,1,0,1
274,1,1,0,29.7,37,1,0,0
275,0,0,0,7.75,21.75,0,0,1
276,0,1,0,77.9583,63,0,1,1
277,0,0,0,7.75,45,0,0,0
278,1,0,1,0,30.74070707,0,0,0
279,1,0,0,29.125,7,1,1,0
280,0,0,0,20.25,35,1,1,1
281,1,0,0,7.75,65,0,0,0
282,1,0,0,7.8542,28,0,0,0
283,1,0,0,9.5,16,0,0,0
284,1,0,0,8.05,19,0,0,1
285,1,1,0,26,41.28138614,0,0,0
286,1,0,0,8.6625,33,0,0,0
287,1,0,0,9.5,30,0,0,1
288,1,0,0,7.8958,22,0,0,0
289,1,0,1,13,42,0,0,1
290,0,0,0,7.75,22,0,0,1
291,0,1,0,78.85,26,0,0,1
292,0,1,0,91.0792,19,0,1,1
293,1,0,1,12.875,36,0,0,0
294,0,0,0,8.85,24,0,0,0
295,1,0,0,7.8958,24,0,0,0
296,1,1,0,27.7208,41.28138614,0,0,0
297,1,0,0,7.2292,23.5,0,0,0
298,0,1,0,151.55,2,1,1,0
299,1,1,0,30.5,41.28138614,0,0,1
300,0,1,0,247.5208,50,1,0,1
301,0,0,0,7.75,21.75,0,0,1
302,1,0,0,23.25,26.50758893,0,1,1
303,1,0,0,0,19,0,0,0
304,0,0,1,12.35,28.72297297,0,0,1
305,1,0,0,8.05,26.50758893,0,0,0
306,1,1,0,151.55,0.92,1,1,1
307,0,1,0,110.8833,34.61176471,0,0,1
308,0,1,0,108.9,17,0,1,1
309,1,0,1,24,30,0,1,0
310,0,1,0,56.9292,30,0,0,1
311,0,1,0,83.1583,24,0,0,1
312,0,1,0,262.375,18,1,1,1
313,0,0,1,26,26,1,1,0
314,1,0,0,7.8958,28,0,0,0
315,1,0,1,26.25,43,1,1,0
316,0,0,0,7.8542,26,0,0,1
317,0,0,1,26,24,0,1,1
318,1,0,1,14,54,0,0,0
319,0,1,0,164.8667,31,1,0,1
320,0,1,0,134.5,40,1,1,1
321,1,0,0,7.25,22,0,0,0
322,1,0,0,7.8958,27,0,0,0
323,0,0,1,12.35,30,0,0,1
324,0,0,1,29,22,1,1,1
325,1,0,0,69.55,26.50758893,1,1,0
326,0,1,0,135.6333,36,0,0,1
327,1,0,0,6.2375,61,0,0,0
328,0,0,1,13,36,0,0,1
329,0,0,0,20.525,31,1,1,1
330,0,1,0,57.9792,16,1,0,1
331,0,0,0,23.25,21.75,0,1,1
332,1,1,0,28.5,45.5,0,0,0
333,1,1,0,153.4625,38,1,0,0
334,1,0,0,18,16,0,1,0
335,0,1,0,133.65,34.61176471,0,1,1
336,1,0,0,7.8958,26.50758893,0,0,0
337,1,1,0,66.6,29,0,1,0
338,0,1,0,134.5,41,0,0,1
339,1,0,0,8.05,45,0,0,1
340,1,1,0,35.5,45,0,0,0
341,1,0,1,26,2,1,1,1
342,0,1,0,263,24,1,1,1
343,1,0,1,13,28,0,0,0
344,1,0,1,13,25,0,0,0
345,1,0,1,13,36,0,0,0
346,0,0,1,13,24,0,0,1
347,0,0,1,13,40,0,0,1
348,0,0,0,16.1,21.75,0,1,1
349,1,0,0,15.9,3,1,1,1
350,1,0,0,8.6625,42,0,0,0
351,1,0,0,9.225,23,0,0,0
352,1,1,0,35,41.28138614,0,0,0
353,1,0,0,7.2292,15,1,1,0
354,1,0,0,17.8,25,0,1,0
355,1,0,0,7.225,26.50758893,0,0,0
356,1,0,0,9.5,28,0,0,0
357,0,1,0,55,22,1,0,1
358,0,0,1,13,38,0,0,0
359,0,0,0,7.8792,21.75,0,0,1
360,0,0,0,7.8792,21.75,0,0,1
361,1,0,0,27.9,40,1,1,0
362,1,0,1,27.7208,29,0,1,0
363,0,0,0,14.4542,45,1,0,0
364,1,0,0,7.05,35,0,0,0
365,1,0,0,15.5,26.50758893,0,1,0
366,1,0,0,7.25,30,0,0,0
367,0,1,0,75.25,60,0,1,1
368,0,0,0,7.2292,21.75,0,0,1
369,0,0,0,7.75,21.75,0,0,1
370,0,1,0,69.3,24,0,0,1
371,1,1,0,55.4417,25,0,1,1
372,1,0,0,6.4958,18,0,1,0
373,1,0,0,8.05,19,0,0,0
374,1,1,0,135.6333,22,0,0,0
375,0,0,0,21.075,3,1,1,0
376,0,1,0,82.1708,34.61176471,0,1,1
377,0,0,0,7.25,22,0,0,1
378,1,1,0,211.5,27,1,0,0
379,1,0,0,4.0125,20,0,0,0
380,1,0,0,7.775,19,0,0,0
381,0,1,0,227.525,42,0,0,1
382,0,0,0,15.7417,1,1,0,1
383,1,0,0,7.925,32,0,0,0
384,0,1,0,52,35,0,1,1
385,1,0,0,7.8958,26.50758893,0,0,0
386,1,0,1,73.5,18,0,0,0
387,1,0,0,46.9,1,1,1,0
388,0,0,1,13,36,0,0,1
389,1,0,0,7.7292,26.50758893,0,0,0
390,0,0,1,12,17,0,0,1
391,1,1,0,120,36,1,1,1
392,1,0,0,7.7958,21,0,0,1
393,1,0,0,7.925,28,0,1,0
394,0,1,0,113.275,23,0,1,1
395,0,0,0,16.7,24,1,0,1
396,1,0,0,7.7958,22,0,0,0
397,0,0,0,7.8542,31,0,0,0
398,1,0,1,26,46,0,0,0
399,1,0,1,10.5,23,0,0,0
400,0,0,1,12.65,28,0,0,1
401,1,0,0,7.925,39,0,0,1
402,1,0,0,8.05,26,0,0,0
403,0,0,0,9.825,21,0,1,0
404,1,0,0,15.85,28,0,1,0
405,0,0,0,8.6625,20,0,0,0
406,1,0,1,21,34,0,1,0
407,1,0,0,7.75,51,0,0,0
408,1,0,1,18.75,3,1,1,1
409,1,0,0,7.775,21,0,0,0
410,0,0,0,25.4667,21.75,1,1,0
411,1,0,0,7.8958,26.50758893,0,0,0
412,1,0,0,6.8583,26.50758893,0,0,0
413,0,1,0,90,33,0,1,1
414,1,0,1,0,30.74070707,0,0,0
415,1,0,0,7.925,44,0,0,1
416,0,0,0,8.05,21.75,0,0,0
417,0,0,1,32.5,34,1,1,1
418,0,0,1,13,18,1,0,1
419,1,0,1,13,30,0,0,0
420,0,0,0,24.15,10,1,0,0
421,1,0,0,7.8958,26.50758893,0,0,0
422,1,0,0,7.7333,21,0,0,0
423,1,0,0,7.875,29,0,0,0
424,0,0,0,14.4,28,1,1,0
425,1,0,0,20.2125,18,1,1,0
426,1,0,0,7.25,26.50758893,0,0,0
427,0,0,1,26,28,0,1,1
428,0,0,1,26,19,0,0,1
429,1,0,0,7.75,26.50758893,0,0,0
430,1,0,0,8.05,32,0,0,1
431,1,1,0,26.55,28,0,0,1
432,0,0,0,16.1,21.75,0,1,1
433,0,0,1,26,42,0,1,1
434,1,0,0,7.125,17,0,0,0
435,1,1,0,55.9,50,0,1,0
436,0,1,0,120,14,1,1,1
437,0,0,0,34.375,21,1,1,0
438,0,0,1,18.75,24,1,1,1
439,1,1,0,263,64,1,1,0
440,1,0,1,10.5,31,0,0,0
441,0,0,1,26.25,45,1,1,1
442,1,0,0,9.5,20,0,0,0
443,1,0,0,7.775,25,0,1,0
444,0,0,1,13,28,0,0,1
445,1,0,0,8.1125,26.50758893,0,0,1
446,1,1,0,81.8583,4,1,0,1
447,0,0,1,19.5,13,1,0,1
448,1,1,0,26.55,34,0,0,1
449,0,0,0,19.2583,5,1,1,1
450,1,1,0,30.5,52,0,0,1
451,1,0,1,27.75,36,1,1,0
452,1,0,0,19.9667,26.50758893,0,1,0
453,1,1,0,27.75,30,0,0,0
454,1,1,0,89.1042,49,0,1,1
455,1,0,0,8.05,26.50758893,0,0,0
456,1,0,0,7.8958,29,0,0,1
457,1,1,0,26.55,65,0,0,0
458,0,1,0,51.8625,34.61176471,0,1,1
459,0,0,1,10.5,50,0,0,1
460,1,0,0,7.75,26.50758893,0,0,0
461,1,1,0,26.55,48,0,0,1
462,1,0,0,8.05,34,0,0,0
463,1,1,0,38.5,47,0,0,0
464,1,0,1,13,48,0,0,0
465,1,0,0,8.05,26.50758893,0,0,0
466,1,0,0,7.05,38,0,0,0
467,1,0,1,0,30.74070707,0,0,0
468,1,1,0,26.55,56,0,0,0
469,1,0,0,7.725,26.50758893,0,0,0
470,0,0,0,19.2583,0.75,1,1,1
471,1,0,0,7.25,26.50758893,0,0,0
472,1,0,0,8.6625,38,0,0,0
473,0,0,1,27.75,33,1,1,1
474,0,0,1,13.7917,23,0,0,1
475,0,0,0,9.8375,22,0,0,0
476,1,1,0,52,41.28138614,0,0,0
477,1,0,1,21,34,0,1,0
478,1,0,0,7.0458,29,0,1,0
479,1,0,0,7.5208,22,0,0,0
480,0,0,0,12.2875,2,1,0,1
481,1,0,0,46.9,9,1,1,0
482,1,0,1,0,30.74070707,0,0,0
483,1,0,0,8.05,50,0,0,0
484,0,0,0,9.5875,63,0,0,1
485,1,1,0,91.0792,25,0,1,1
486,0,0,0,25.4667,21.75,1,1,0
487,0,1,0,90,35,0,1,1
488,1,1,0,29.7,58,0,0,0
489,1,0,0,8.05,30,0,0,0
490,1,0,0,15.9,9,1,1,1
491,1,0,0,19.9667,26.50758893,0,1,0
492,1,0,0,7.25,21,0,0,0
493,1,1,0,30.5,55,0,0,0
494,1,1,0,49.5042,71,0,0,0
495,1,0,0,8.05,21,0,0,0
496,1,0,0,14.4583,26.50758893,0,0,0
497,0,1,0,78.2667,54,0,1,1
498,1,0,0,15.1,26.50758893,0,0,0
499,0,1,0,151.55,25,1,1,0
500,1,0,0,7.7958,24,0,0,0
501,1,0,0,8.6625,17,0,0,0
502,0,0,0,7.75,21,0,0,0
503,0,0,0,7.6292,21.75,0,0,0
504,0,0,0,9.5875,37,0,0,0
505,0,1,0,86.5,16,0,0,1
506,1,1,0,108.9,18,0,1,0
507,0,0,1,26,33,1,0,1
508,1,1,0,26.55,41.28138614,0,0,1
509,1,0,0,22.525,28,0,0,0
510,1,0,0,56.4958,26,0,0,1
511,1,0,0,7.75,29,0,0,1
512,1,0,0,8.05,26.50758893,0,0,0
513,1,1,0,26.2875,36,0,0,1
514,0,1,0,59.4,54,0,1,1
515,1,0,0,7.4958,24,0,0,0
516,1,1,0,34.0208,47,0,0,0
517,0,0,1,10.5,34,0,0,1
518,1,0,0,24.15,26.50758893,0,0,0
519,0,0,1,26,36,0,1,1
520,1,0,0,7.8958,32,0,0,0
521,0,1,0,93.5,30,0,0,1
522,1,0,0,7.8958,22,0,0,0
523,1,0,0,7.225,26.50758893,0,0,0
524,0,1,0,57.9792,44,1,0,1
525,1,0,0,7.2292,26.50758893,0,0,0
526,1,0,0,7.75,40.5,0,0,0
527,0,0,1,10.5,50,0,0,1
528,1,1,0,221.7792,41.28138614,0,0,0
529,1,0,0,7.925,39,0,0,0
530,1,0,1,11.5,23,1,1,0
531,0,0,1,26,2,1,1,1
532,1,0,0,7.2292,26.50758893,0,0,0
533,1,0,0,7.2292,17,1,1,0
534,0,0,0,22.3583,21.75,1,0,1
535,0,0,0,8.6625,30,0,0,0
536,0,0,1,26.25,7,1,0,1
537,1,1,0,26.55,45,0,0,0
538,0,1,0,106.425,30,0,0,1
539,1,0,0,14.5,26.50758893,0,0,0
540,0,1,0,49.5,22,1,0,1
541,0,1,0,71,36,1,0,1
542,0,0,0,31.275,9,1,1,0
543,0,0,0,31.275,11,1,1,0
544,1,0,1,26,32,0,1,1
545,1,1,0,106.425,50,0,1,0
546,1,1,0,26,64,0,0,0
547,0,0,1,26,19,0,1,1
548,1,0,1,13.8625,30.74070707,0,0,1
549,1,0,0,20.525,33,1,1,0
550,1,0,1,36.75,8,1,1,1
551,1,1,0,110.8833,17,1,0,1
552,1,0,1,26,27,0,0,0
553,1,0,0,7.8292,26.50758893,0,0,0
554,1,0,0,7.225,22,0,0,1
555,0,0,0,7.775,22,0,0,1
556,1,1,0,26.55,62,0,0,0
557,0,1,0,39.6,48,0,1,1
558,1,1,0,227.525,41.28138614,0,0,0
559,0,1,0,79.65,39,1,1,1
560,0,0,0,17.4,36,0,1,1
561,1,0,0,7.75,26.50758893,0,0,0
562,1,0,0,7.8958,40,0,0,0
563,1,0,1,13.5,28,0,0,0
564,1,0,0,8.05,26.50758893,0,0,0
565,0,0,0,8.05,21.75,0,0,0
566,1,0,0,24.15,24,0,1,0
567,1,0,0,7.8958,19,0,0,0
568,0,0,0,21.075,29,1,0,0
569,1,0,0,7.2292,26.50758893,0,0,0
570,1,0,0,7.8542,32,0,0,1
571,1,0,1,10.5,62,0,0,1
572,0,1,0,51.4792,53,0,1,1
573,1,1,0,26.3875,36,0,0,1
574,0,0,0,7.75,21.75,0,0,1
575,1,0,0,8.05,16,0,0,0
576,1,0,0,14.5,19,0,0,0
577,0,0,1,13,34,0,0,1
578,0,1,0,55.9,39,0,1,1
579,0,0,0,14.4583,21.75,0,1,0
580,1,0,0,7.925,32,0,0,1
581,0,0,1,30,25,1,1,1
582,0,1,0,110.8833,39,1,1,1
583,1,0,1,26,54,0,0,0
584,1,1,0,40.125,36,0,0,0
585,1,0,0,8.7125,26.50758893,0,0,0
586,0,1,0,79.65,18,1,0,1
587,1,0,1,15,47,0,0,0
588,1,1,0,79.2,60,1,1,1
589,1,0,0,8.05,22,0,0,0
590,1,0,0,8.05,26.50758893,0,0,0
591,1,0,0,7.125,35,0,0,0
592,0,1,0,78.2667,52,0,1,1
593,1,0,0,7.25,47,0,0,0
594,0,0,0,7.75,21.75,1,0,0
595,1,0,1,26,37,0,1,0
596,1,0,0,24.15,36,1,1,0
597,0,0,1,33,28.72297297,0,0,1
598,1,0,0,0,49,0,0,0
599,1,0,0,7.225,26.50758893,0,0,0
600,1,1,0,56.9292,49,0,1,1
601,0,0,1,27,24,1,1,1
602,1,0,0,7.8958,26.50758893,0,0,0
603,1,1,0,42.4,41.28138614,0,0,0
604,1,0,0,8.05,44,0,0,0
605,1,1,0,26.55,35,0,0,1
606,1,0,0,15.55,36,0,1,0
607,1,0,0,7.8958,30,0,0,0
608,1,1,0,30.5,27,0,0,1
609,0,0,1,41.5792,22,1,1,1
610,0,1,0,153.4625,40,0,0,1
611,0,0,0,31.275,39,1,1,0
612,1,0,0,7.05,26.50758893,0,0,0
613,0,0,0,15.5,21.75,0,1,1
614,1,0,0,7.75,26.50758893,0,0,0
615,1,0,0,8.05,35,0,0,0
616,0,0,1,65,24,1,1,1
617,1,0,0,14.4,34,1,1,0
618,0,0,0,16.1,26,0,1,0
619,0,0,1,39,4,1,1,1
620,1,0,1,10.5,26,0,0,0
621,1,0,0,14.4542,27,0,1,0
622,1,1,0,52.5542,42,0,1,1
623,1,0,0,15.7417,20,1,1,1
624,1,0,0,7.8542,21,0,0,0
625,1,0,0,16.1,21,0,0,0
626,1,1,0,32.3208,61,0,0,0
627,1,0,1,12.35,57,0,0,0
628,0,1,0,77.9583,21,0,0,1
629,1,0,0,7.8958,26,0,0,0
630,1,0,0,7.7333,26.50758893,0,0,0
631,1,1,0,30,80,0,0,1
632,1,0,0,7.0542,51,0,0,0
633,1,1,0,30.5,32,0,0,1
634,1,1,0,0,41.28138614,0,0,0
635,0,0,0,27.9,9,1,1,0
636,0,0,1,13,28,0,0,1
637,1,0,0,7.925,32,0,0,0
638,1,0,1,26.25,31,1,1,0
639,0,0,0,39.6875,41,1,0,0
640,1,0,0,16.1,26.50758893,0,1,0
641,1,0,0,7.8542,20,0,0,0
642,0,1,0,69.3,24,0,0,1
643,0,0,0,27.9,2,1,1,0
644,1,0,0,56.4958,26.50758893,0,0,1
645,0,0,0,19.2583,0.75,1,1,1
646,1,1,0,76.7292,48,0,1,1
647,1,0,0,7.8958,19,0,0,0
648,1,1,0,35.5,56,0,0,1
649,1,0,0,7.55,26.50758893,0,0,0
650,0,0,0,7.55,23,0,0,1
651,1,0,0,7.8958,26.50758893,0,0,0
652,0,0,1,23,18,1,0,1
653,1,0,0,8.4333,21,0,0,0
654,0,0,0,7.8292,21.75,0,0,1
655,0,0,0,6.75,18,0,0,0
656,1,0,1,73.5,24,0,1,0
657,1,0,0,7.8958,26.50758893,0,0,0
658,0,0,0,15.5,32,1,1,0
659,1,0,1,13,23,0,0,0
660,1,1,0,113.275,58,1,0,0
661,1,1,0,133.65,50,0,1,1
662,1,0,0,7.225,40,0,0,0
663,1,1,0,25.5875,47,0,0,0
664,1,0,0,7.4958,36,0,0,0
665,1,0,0,7.925,20,0,1,1
666,1,0,1,73.5,32,0,1,0
667,1,0,1,13,25,0,0,0
668,1,0,0,7.775,26.50758893,0,0,0
669,1,0,0,8.05,43,0,0,0
670,0,1,0,52,34.61176471,0,1,1
